# Gene set generated on 2023-04-04T17:08:06 using cellxgene version 1.1.1
# Input data file was write/human_combined_final.h5ad, which was last modified on 2023-04-04T15:07:25
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (4/4/2023, 5:08:00 PM)",,NALF1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DPYD,
"Pop1 high (4/4/2023, 5:08:00 PM)",,PDE4D,
"Pop1 high (4/4/2023, 5:08:00 PM)",,MEIS2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,GRB10,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ENSG00000253642,
"Pop1 high (4/4/2023, 5:08:00 PM)",,VOPP1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,CDKN2A,
"Pop1 high (4/4/2023, 5:08:00 PM)",,MAST4,
"Pop1 high (4/4/2023, 5:08:00 PM)",,TNC,
"Pop1 high (4/4/2023, 5:08:00 PM)",,XKR6,
"Pop1 high (4/4/2023, 5:08:00 PM)",,PLXNA4,
"Pop1 high (4/4/2023, 5:08:00 PM)",,RAPGEF5,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ZNF83,
"Pop1 high (4/4/2023, 5:08:00 PM)",,KIRREL3,
"Pop1 high (4/4/2023, 5:08:00 PM)",,CSMD2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,JARID2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ADAM12,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ENSG00000264545,
"Pop1 high (4/4/2023, 5:08:00 PM)",,FLG-AS1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,CELF2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,TENM4,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DELEC1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,NECTIN3,
"Pop1 high (4/4/2023, 5:08:00 PM)",,FBXL7,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DPYD-AS1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,UTY,
"Pop1 high (4/4/2023, 5:08:00 PM)",,RBMS1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,PPP3CA,
"Pop1 high (4/4/2023, 5:08:00 PM)",,MIR924HG,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DST,
"Pop1 high (4/4/2023, 5:08:00 PM)",,USP9Y,
"Pop1 high (4/4/2023, 5:08:00 PM)",,LANCL2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,BACE2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ASPH,
"Pop1 high (4/4/2023, 5:08:00 PM)",,FRMD4B,
"Pop1 high (4/4/2023, 5:08:00 PM)",,HDAC9,
"Pop1 high (4/4/2023, 5:08:00 PM)",,MAGI2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ENSG00000227486,
"Pop1 high (4/4/2023, 5:08:00 PM)",,NRP1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,CAP2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DTNA,
"Pop1 high (4/4/2023, 5:08:00 PM)",,FLOT1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,ZNF718,
"Pop1 high (4/4/2023, 5:08:00 PM)",,SMARCA2,
"Pop1 high (4/4/2023, 5:08:00 PM)",,EFNA5,
"Pop1 high (4/4/2023, 5:08:00 PM)",,UTRN,
"Pop1 high (4/4/2023, 5:08:00 PM)",,PECAM1,
"Pop1 high (4/4/2023, 5:08:00 PM)",,DOCK5,
"Pop1 high (4/4/2023, 5:08:00 PM)",,RUNX1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ENSG00000258081,
"Pop2 high (4/4/2023, 5:08:00 PM)",,XIST,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ENSG00000224271,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SDK1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GPC6,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SEC61G-DT,
"Pop2 high (4/4/2023, 5:08:00 PM)",,LINC02163,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GREB1L,
"Pop2 high (4/4/2023, 5:08:00 PM)",,LRP1B,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ENSG00000286479,
"Pop2 high (4/4/2023, 5:08:00 PM)",,UNC5C,
"Pop2 high (4/4/2023, 5:08:00 PM)",,LINC01036,
"Pop2 high (4/4/2023, 5:08:00 PM)",,NRG1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,CECR2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,KCNQ5,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SOX2-OT,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SLC35F1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SNTB1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,MAP2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,CACNB2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,CCDC144NL-AS1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,DNAH14,
"Pop2 high (4/4/2023, 5:08:00 PM)",,CCDC102B,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ENSG00000286543,
"Pop2 high (4/4/2023, 5:08:00 PM)",,PDE10A,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SFMBT2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,CRB1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,BMPR1B,
"Pop2 high (4/4/2023, 5:08:00 PM)",,PDE4B,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SOX5,
"Pop2 high (4/4/2023, 5:08:00 PM)",,PTPRD,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SERINC5,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GNG2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,DOCK4,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GPM6B,
"Pop2 high (4/4/2023, 5:08:00 PM)",,JAKMIP2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,FUT9,
"Pop2 high (4/4/2023, 5:08:00 PM)",,LINC00632,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GPM6A,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GPHN,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ENSG00000228933,
"Pop2 high (4/4/2023, 5:08:00 PM)",,BCHE,
"Pop2 high (4/4/2023, 5:08:00 PM)",,MSRA,
"Pop2 high (4/4/2023, 5:08:00 PM)",,GRIP2,
"Pop2 high (4/4/2023, 5:08:00 PM)",,RHOJ,
"Pop2 high (4/4/2023, 5:08:00 PM)",,ST8SIA1,
"Pop2 high (4/4/2023, 5:08:00 PM)",,SCARB1,
